/home/datadons/.local/lib/python3.8/site-packages/gensim/similarities/__init__.py:15: UserWarning: The gensim.similarities.levenshtein submodule is disabled, because the optional Levenshtein package <https://pypi.org/project/python-Levenshtein/> is unavailable. Install Levenhstein (e.g. `pip install python-Levenshtein`) to suppress this warning.
  warnings.warn(msg)
data:  vector_representation/test_stress_sortedlist.py.txt
data:  vector_representation/lock.py.txt
data:  vector_representation/_inspect.py.txt
data:  vector_representation/web_1.py.txt
data:  vector_representation/broker.py.txt
data:  vector_representation/astraea.py.txt
data:  vector_representation/calendar.py.txt
data:  vector_representation/testing_utils.py.txt
data:  vector_representation/_decorator.py.txt
data:  vector_representation/brew_cask_dependency.py.txt
data:  vector_representation/apk.py.txt
data:  vector_representation/BearTest.py.txt
data:  vector_representation/create_ava_actions_tf_record.py.txt
data:  vector_representation/_highlevel_open_tcp_stream.py.txt
data:  vector_representation/recursion.py.txt
data:  vector_representation/face_detection_cli.py.txt
data:  vector_representation/rabbitmq.py.txt
data:  vector_representation/jedi_vim.py.txt
data:  vector_representation/crypto_secretbox.py.txt
data:  vector_representation/delayed.py.txt
data:  vector_representation/creator-dask.py.txt
data:  vector_representation/decorator.py.txt
data:  vector_representation/factory.py.txt
data:  vector_representation/_read_excel.py.txt
data:  vector_representation/microbenchmarks.py.txt
data:  vector_representation/Memoize.py.txt
data:  vector_representation/tracing_helper.py.txt
data:  vector_representation/extension.py.txt
data:  vector_representation/router.py.txt
data:  vector_representation/interval.py.txt
data:  vector_representation/context.py.txt
data:  vector_representation/threading.py.txt
data:  vector_representation/time.py.txt
data:  vector_representation/loader.py.txt
data:  vector_representation/memory_profiler.py.txt
data:  vector_representation/dagd.py.txt
data:  vector_representation/autocast_mode.py.txt
data:  vector_representation/policy_client.py.txt
data:  vector_representation/_delete.py.txt
data:  vector_representation/crypto_box.py.txt
data:  0.0 min and 2.6534292697906494 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/cache.py 1 in  0.0 min and 0.6224737167358398 sec.
Vector rep. of file: sets_wrapper/wrapper/withpattern/asyncio.py 1 in  0.0 min and 0.1243128776550293 sec.
